"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"2","1.519133","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"3","1.519265","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1 Ack=537 Win=29004 Len=0 TSval=1654345257 TSecr=1785877850"
"5","3.433870","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"6","3.449317","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=537 Win=16088 Len=0 TSval=1785879775 TSecr=1654347172"
"7","3.459370","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"8","3.459431","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=537 Ack=1073 Win=29014 Len=0 TSval=1654347197 TSecr=1785879787"
"9","3.460004","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"10","3.479502","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1073 Ack=1073 Win=16088 Len=0 TSval=1785879805 TSecr=1654347198"
"11","3.489581","10.0.0.101","192.168.0.3","RSL CBCH","1514","5000,35644","1448","SMS BroadCast REQuest "
"12","3.489608","10.0.0.101","192.168.0.3","TCP","182","5000,35644","116","5000  >  35644 [PSH, ACK] Seq=2521 Ack=1073 Win=16088 Len=116 TSval=1785879817 TSecr=1654347198"
"13","3.489658","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=2637 Win=28998 Len=0 TSval=1654347228 TSecr=1785879817"
"14","3.499652","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"15","3.499674","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4085 Ack=1073 Win=16088 Len=1448 TSval=1785879828 TSecr=1654347198"
"16","3.499682","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=5533 Ack=1073 Win=16088 Len=1448 TSval=1785879828 TSecr=1654347198"
"17","3.499698","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","1514","5000,35644","1448","Unknown: 147 "
"18","3.499713","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 82 "
"19","3.499760","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=5533 Win=28992 Len=0 TSval=1654347238 TSecr=1785879828"
"20","3.499776","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=8429 Win=28964 Len=0 TSval=1654347238 TSecr=1785879828"
"21","3.499786","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=9877 Win=28952 Len=0 TSval=1654347238 TSecr=1785879828"
