"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"7","1.882476","192.168.0.3","10.0.0.103","RSL","602","57658,5000","536","CHANnel ReQuireD "
"8","1.902536","10.0.0.103","192.168.0.3","TCP","66","5000,57658","0","5000  >  57658 [ACK] Seq=537 Ack=1073 Win=1002 Len=0 TSval=4159536782 TSecr=2631870277"
"9","1.902550","10.0.0.103","192.168.0.3","RSL","1514","5000,57658","1448","RF RESource INDication [Malformed Packet: length of contained item exceeds length of containing item]"
"10","1.902557","10.0.0.103","192.168.0.3","RSL","696","5000,57658","630","unknown 0 "
"11","1.902609","192.168.0.3","10.0.0.103","TCP","66","57658,5000","0","57658  >  5000 [ACK] Seq=1073 Ack=1985 Win=1002 Len=0 TSval=2631870297 TSecr=4159536782"
"12","1.902622","192.168.0.3","10.0.0.103","TCP","66","57658,5000","0","57658  >  5000 [ACK] Seq=1073 Ack=2615 Win=993 Len=0 TSval=2631870297 TSecr=4159536782"
"13","1.922704","10.0.0.103","192.168.0.3","RSL","602","5000,57658","536","CHANnel ReQuireD "
"14","1.922767","192.168.0.3","10.0.0.103","TCP","66","57658,5000","0","57658  >  5000 [ACK] Seq=1073 Ack=3151 Win=1002 Len=0 TSval=2631870317 TSecr=4159536802"
"16","3.691076","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"17","3.702203","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1 Ack=537 Win=16088 Len=0 TSval=1784730030 TSecr=1653197193"
"21","9.282217","10.0.0.104","192.168.0.3","RSL","602","5000,59876","536","CHANnel ReQuireD "
"22","9.282353","192.168.0.3","10.0.0.104","TCP","66","59876,5000","0","59876  >  5000 [ACK] Seq=1 Ack=537 Win=1002 Len=0 TSval=1304810 TSecr=1114969420"
"23","9.714586","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"24","9.714726","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=537 Ack=537 Win=29004 Len=0 TSval=1653203216 TSecr=1784736047"
"26","11.667611","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"27","11.685098","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=1073 Win=16088 Len=0 TSval=1784738013 TSecr=1653205169"
"29","13.163626","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"30","13.182949","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=1609 Win=16088 Len=0 TSval=1784739511 TSecr=1653206665"
"31","13.193009","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"32","13.193074","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=1073 Win=29004 Len=0 TSval=1653206695 TSecr=1784739529"
"33","13.193719","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"34","13.223233","10.0.0.101","192.168.0.3","RSL Cell Broadcast","1514","5000,35644","1448","SMS BroadCast CoMmanD  (CBS Page)"
"35","13.223254","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=2521 Ack=2145 Win=16088 Len=1448 TSval=1784739560 TSecr=1653206695"
"36","13.223273","10.0.0.101","192.168.0.3","RSL","276","5000,35644","210","PAGING CoMmanD "
"37","13.223341","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=3969 Win=28992 Len=0 TSval=1653206725 TSecr=1784739560"
"38","13.223359","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=4179 Win=28989 Len=0 TSval=1653206725 TSecr=1784739560"
"39","13.233361","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"40","13.233391","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=5627 Ack=2145 Win=16088 Len=1448 TSval=1784739569 TSecr=1653206695"
"41","13.233449","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=5627 Win=29004 Len=0 TSval=1653206735 TSecr=1784739569"
"42","13.233525","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=7075 Win=29004 Len=0 TSval=1653206735 TSecr=1784739569"
"43","13.243465","10.0.0.101","192.168.0.3","TCP","790","5000,35644","724","5000  >  35644 [PSH, ACK] Seq=7075 Ack=2145 Win=16088 Len=724 TSval=1784739571 TSecr=1653206725"
"44","13.243545","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=7799 Win=29004 Len=0 TSval=1653206745 TSecr=1784739571"
"45","13.253575","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"46","13.253718","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=9247 Win=29004 Len=0 TSval=1653206755 TSecr=1784739583"
"47","13.253889","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=9247 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"48","13.253909","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=10695 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"49","13.253918","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=12143 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"50","13.253926","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=13591 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"51","13.253938","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=15039 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"52","13.253945","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=16487 Ack=2145 Win=16088 Len=1448 TSval=1784739583 TSecr=1653206735"
"53","13.253957","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 95 "
"54","13.254169","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=10695 Win=29004 Len=0 TSval=1653206756 TSecr=1784739583"
"55","13.254185","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=13591 Win=28980 Len=0 TSval=1653206756 TSecr=1784739583"
"56","13.254193","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=15039 Win=28968 Len=0 TSval=1653206756 TSecr=1784739583"
"57","13.254200","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=16487 Win=28956 Len=0 TSval=1653206756 TSecr=1784739583"
"58","13.254210","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=17935 Win=28940 Len=0 TSval=1653206756 TSecr=1784739583"
"59","13.254217","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=19383 Win=28928 Len=0 TSval=1653206756 TSecr=1784739583"
"60","13.263850","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=19383 Ack=2145 Win=16088 Len=1448 TSval=1784739591 TSecr=1653206745"
"61","13.263881","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=20831 Ack=2145 Win=16088 Len=1448 TSval=1784739591 TSecr=1653206745"
"62","13.263898","10.0.0.101","192.168.0.3","TCP","580","5000,35644","514","5000  >  35644 [PSH, ACK] Seq=22279 Ack=2145 Win=16088 Len=514 TSval=1784739592 TSecr=1653206745"
"63","13.263971","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=22279 Win=28992 Len=0 TSval=1653206766 TSecr=1784739591"
"64","13.263986","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=22793 Win=28984 Len=0 TSval=1653206766 TSecr=1784739592"
"65","13.274046","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"66","13.274070","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=24241 Ack=2145 Win=16088 Len=1448 TSval=1784739602 TSecr=1653206755"
"67","13.274087","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=25689 Ack=2145 Win=16088 Len=1448 TSval=1784739603 TSecr=1653206756"
"68","13.274192","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=27137 Ack=2145 Win=16088 Len=1448 TSval=1784739603 TSecr=1653206756"
"69","13.274195","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=25689 Win=28992 Len=0 TSval=1653206776 TSecr=1784739602"
"70","13.274218","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=28585 Ack=2145 Win=16088 Len=1448 TSval=1784739603 TSecr=1653206756"
"71","13.274317","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=30033 Win=28956 Len=0 TSval=1653206776 TSecr=1784739603"
"72","13.274741","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"73","13.284287","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"74","13.284305","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=31481 Ack=2145 Win=16088 Len=1448 TSval=1784739615 TSecr=1653206766"
"75","13.284351","10.0.0.101","192.168.0.3","TCP","1240","5000,35644","1174","5000  >  35644 [PSH, ACK] Seq=32929 Ack=2145 Win=16088 Len=1174 TSval=1784739615 TSecr=1653206766"
"76","13.284367","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"77","13.284402","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=35551 Ack=2145 Win=16088 Len=1448 TSval=1784739615 TSecr=1653206766"
"78","13.284416","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=32929 Win=28992 Len=0 TSval=1653206786 TSecr=1784739615"
