"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"5","6.234824","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"6","6.248285","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1 Ack=537 Win=16088 Len=0 TSval=1786326572 TSecr=1654793972"
"7","6.258342","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"8","6.258414","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=537 Ack=537 Win=29014 Len=0 TSval=1654793996 TSecr=1786326589"
"9","6.259100","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"10","6.288588","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"11","6.288619","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1985 Ack=1073 Win=16088 Len=1448 TSval=1786326621 TSecr=1654793997"
"12","6.288640","10.0.0.101","192.168.0.3","TCP","1240","5000,35644","1174","5000  >  35644 [PSH, ACK] Seq=3433 Ack=1073 Win=16088 Len=1174 TSval=1786326621 TSecr=1654793997"
"13","6.288649","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 95 "
"14","6.288668","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=6055 Ack=1073 Win=16088 Len=1448 TSval=1786326621 TSecr=1654793997"
"15","6.288745","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=3433 Win=28992 Len=0 TSval=1654794026 TSecr=1786326621"
"16","6.288761","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=4607 Win=28980 Len=0 TSval=1654794026 TSecr=1786326621"
"17","6.288769","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=7503 Win=28956 Len=0 TSval=1654794026 TSecr=1786326621"
"18","6.308843","10.0.0.101","192.168.0.3","TCP","854","5000,35644","788","5000  >  35644 [PSH, ACK] Seq=7503 Ack=1073 Win=16088 Len=788 TSval=1786326633 TSecr=1654794026"
"19","6.308868","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"20","6.308884","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=9739 Ack=1073 Win=16088 Len=1448 TSval=1786326635 TSecr=1654794026"
"21","6.308904","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=11187 Ack=1073 Win=16088 Len=1448 TSval=1786326635 TSecr=1654794026"
"22","6.308951","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=12635 Ack=1073 Win=16088 Len=1448 TSval=1786326635 TSecr=1654794026"
"23","6.308976","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=14083 Ack=1073 Win=16088 Len=1448 TSval=1786326635 TSecr=1654794026"
"24","6.308980","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=8291 Win=29000 Len=0 TSval=1654794046 TSecr=1786326633"
"25","6.308995","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=11187 Win=28976 Len=0 TSval=1654794046 TSecr=1786326635"
"26","6.309002","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=12635 Win=28964 Len=0 TSval=1654794046 TSecr=1786326635"
"27","6.309032","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=14083 Win=28952 Len=0 TSval=1654794046 TSecr=1786326635"
"28","6.309049","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=15531 Win=28940 Len=0 TSval=1654794047 TSecr=1786326635"
"29","6.319053","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=15531 Ack=1073 Win=16088 Len=1448 TSval=1786326644 TSecr=1654794026"
"30","6.319069","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=16979 Ack=1073 Win=16088 Len=1448 TSval=1786326644 TSecr=1654794026"
"31","6.319101","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=18427 Ack=1073 Win=16088 Len=1448 TSval=1786326644 TSecr=1654794026"
"32","6.319163","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=18427 Win=28992 Len=0 TSval=1654794057 TSecr=1786326644"
"33","6.319189","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=19875 Win=28980 Len=0 TSval=1654794057 TSecr=1786326644"
"34","6.329219","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=19875 Ack=1073 Win=16088 Len=1448 TSval=1786326653 TSecr=1654794046"
