"No.","Time","Source","Destination","Protocol","Length","Port","Info"
"1","0.000000","10.0.0.104","192.168.0.3","TCP","66","5000,47214","5000  >  47214 [FIN, ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=1106505223 TSecr=4287614299"
"2","0.000235","192.168.0.3","10.0.0.104","TCP","66","47214,5000","47214  >  5000 [FIN, ACK] Seq=1 Ack=2 Win=1002 Len=0 TSval=4287807906 TSecr=1106505223"
"3","0.020113","10.0.0.104","192.168.0.3","TCP","66","5000,47214","5000  >  47214 [ACK] Seq=2 Ack=2 Win=1002 Len=0 TSval=1106505236 TSecr=4287807906"
"6","3.448465","10.0.0.101","192.168.0.3","RSL","602","5000,35644","CHANnel ReQuireD "
"7","3.448599","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=1 Ack=537 Win=29004 Len=0 TSval=1644742033 TSecr=1776274863"
"10","8.679232","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"11","8.696242","10.0.0.101","192.168.0.3","TCP","66","5000,35644","5000  >  35644 [ACK] Seq=537 Ack=537 Win=6826 Len=0 TSval=1776280103 TSecr=1644747263"
"12","8.696265","10.0.0.101","192.168.0.3","RSL","602","5000,35644","CHANnel ReQuireD "
"13","8.696329","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=537 Ack=1073 Win=29004 Len=0 TSval=1644747281 TSecr=1776280103"
"14","8.696713","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"15","8.726440","10.0.0.101","192.168.0.3","RSL","602","5000,35644","CHANnel ReQuireD "
"16","8.726511","192.168.0.3","10.0.0.101","TCP","66","35644,5000","35644  >  5000 [ACK] Seq=1073 Ack=1609 Win=29004 Len=0 TSval=1644747311 TSecr=1776280134"
"17","8.726891","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"18","8.756680","10.0.0.101","192.168.0.3","RSL","602","5000,35644","CHANnel ReQuireD "
"19","8.757229","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"20","8.796933","10.0.0.101","192.168.0.3","RSL","602","5000,35644","CHANnel ReQuireD "
"21","8.797674","192.168.0.3","10.0.0.101","RSL","602","35644,5000","CHANnel ReQuireD "
"22","8.837162","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","NOTification CoMmanD "
"23","8.837190","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","5000  >  35644 [PSH, ACK] Seq=4129 Ack=2681 Win=6826 Len=1448 TSval=1776280246 TSecr=1644747382"
"24","8.837198","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","790","5000,35644","Unknown: 135 "
