"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"1","0.000000","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"2","0.154473","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"3","0.197053","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1 Ack=537 Win=29004 Len=0 TSval=1653503940 TSecr=1785036487"
"4","2.000595","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"5","4.001187","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"6","6.001806","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"7","7.457228","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"8","7.473665","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=537 Win=16084 Len=0 TSval=1785043801 TSecr=1653511200"
"9","8.002355","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"10","8.746008","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"11","8.760379","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=1073 Win=16088 Len=0 TSval=1785045088 TSecr=1653512489"
"12","8.770472","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"13","8.770573","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1073 Ack=1073 Win=29004 Len=0 TSval=1653512513 TSecr=1785045104"
"14","8.771246","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"15","8.790606","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1073 Ack=1609 Win=16088 Len=0 TSval=1785045118 TSecr=1653512514"
"16","8.800692","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"17","8.800720","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=2521 Ack=1609 Win=16088 Len=1448 TSval=1785045135 TSecr=1653512514"
"18","8.800727","10.0.0.101","192.168.0.3","TCP","1240","5000,35644","1174","5000  >  35644 [PSH, ACK] Seq=3969 Ack=1609 Win=16088 Len=1174 TSval=1785045135 TSecr=1653512514"
"19","8.800738","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 95 "
"20","8.800746","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=6591 Ack=1609 Win=16088 Len=1448 TSval=1785045135 TSecr=1653512514"
"21","8.800789","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=3969 Win=28992 Len=0 TSval=1653512543 TSecr=1785045135"
"22","8.800799","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=5143 Win=28980 Len=0 TSval=1653512544 TSecr=1785045135"
"23","8.801110","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=8039 Win=28992 Len=0 TSval=1653512544 TSecr=1785045135"
"24","8.810835","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=8039 Ack=1609 Win=16088 Len=1448 TSval=1785045147 TSecr=1653512514"
"25","8.810870","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","unknown 110 "
"26","8.810954","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=9487 Win=29004 Len=0 TSval=1653512554 TSecr=1785045147"
"27","8.811005","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=10935 Ack=1609 Win=16088 Len=1448 TSval=1785045147 TSecr=1653512514"
"28","8.811014","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=12383 Ack=1609 Win=16088 Len=1448 TSval=1785045147 TSecr=1653512514"
"29","8.811029","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=13831 Ack=1609 Win=16088 Len=1448 TSval=1785045147 TSecr=1653512514"
"30","8.811075","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=10935 Win=28986 Len=0 TSval=1653512554 TSecr=1785045147"
"31","8.811088","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=12383 Win=28964 Len=0 TSval=1653512554 TSecr=1785045147"
